time,obs_hanzhong,pred_hanzhong,err_hanzhong,obs_yangxian,pred_yangxian,err_yangxian,obs_youshui,pred_youshui,err_youshui,obs_lianghekou,pred_lianghekou,err_lianghekou,obs_shiquan,pred_shiquan,err_shiquan
2015-03-14,3.9127836,2.231362,-1.6814215,16.45154,7.664193,-8.787347,0.79110265,0.5901897,-0.20091295,3.911777,3.2264981,-0.6852789,25.751118,13.389615,-12.361503
2015-03-15,4.4939795,2.128871,-2.3651085,20.751928,8.125663,-12.626266,0.6319864,0.5582036,-0.0737828,4.9645863,3.6325932,-1.3319931,37.729965,13.126786,-24.60318
2015-03-16,4.0146513,2.0751326,-1.9395187,21.103786,7.7348604,-13.368926,0.34331036,0.518633,0.17532265,2.2771761,3.075851,0.7986748,30.719309,12.643479,-18.075829
2015-03-17,4.9559283,3.7191076,-1.2368207,16.61654,7.0810003,-9.535541,0.78899753,0.59969556,-0.18930197,3.2460456,3.9040823,0.6580367,33.426224,14.917981,-18.508244
2015-03-18,24.523497,5.1944585,-19.329039,31.145779,6.509188,-24.636591,2.2077596,0.5870018,-1.6207578,6.3219743,3.733645,-2.5883293,44.50026,19.005886,-25.494373
2015-03-19,18.613283,11.322463,-7.29082,51.59072,15.628302,-35.962418,1.749284,1.3247659,-0.4245181,4.802326,5.361679,0.5593529,70.545715,36.943497,-33.60222
2015-03-20,34.507355,17.844492,-16.662863,60.25816,35.282715,-24.975445,3.3710918,1.3030007,-2.0680912,8.657433,4.82438,-3.8330526,101.716255,47.989025,-53.72723
2015-03-21,25.660755,15.477781,-10.182974,69.473724,39.177685,-30.29604,1.2110922,1.010469,-0.20062327,2.608725,3.698072,1.0893469,92.001945,40.526814,-51.475132
2015-03-22,18.755795,13.515598,-5.240196,48.524914,42.837933,-5.686981,1.9656963,2.0246234,0.05892706,4.479525,5.7180777,1.2385526,73.71502,65.38058,-8.334442
2015-03-23,25.046177,11.0539,-13.992277,48.969257,43.8821,-5.087158,4.065683,2.0756862,-1.9899967,9.485306,6.403117,-3.0821886,90.13709,111.57546,21.43837
2015-03-24,21.06011,15.114075,-5.9460354,51.76039,55.146782,3.3863907,3.0957685,3.5487404,0.45297194,8.03705,10.261583,2.224533,84.77523,147.91747,63.142235
2015-03-25,25.016344,17.87249,-7.143854,62.602467,74.018715,11.416248,5.702684,3.6176977,-2.0849862,13.580762,11.536433,-2.0443287,120.51543,156.55106,36.03563
2015-03-26,21.722933,14.973395,-6.7495375,64.61536,64.82978,0.21442413,2.7726862,2.4296472,-0.34303904,6.6771584,7.967119,1.2899609,98.59851,119.891365,21.292854
2015-03-27,16.614576,11.924734,-4.689842,47.75273,47.639626,-0.113105774,2.151064,1.7609565,-0.3901074,6.526508,5.7864084,-0.74009943,74.55966,88.17133,13.611671
2015-03-28,12.936469,9.756379,-3.18009,35.431847,34.913074,-0.5187721,1.9768369,1.4056857,-0.57115126,5.916046,4.6393585,-1.2766876,58.512615,65.66934,7.156727
2015-03-29,13.461531,8.262739,-5.1987915,29.359104,26.790537,-2.5685673,1.8395061,1.2073686,-0.63213754,5.4484253,3.9919825,-1.4564428,49.273716,51.50128,2.2275658
2015-03-30,12.879681,7.141981,-5.7376995,29.328762,21.446281,-7.8824806,1.6315331,1.0814979,-0.55003524,4.865532,3.5702577,-1.2952743,45.586987,42.21363,-3.3733559
2015-03-31,11.521283,11.897368,0.37608528,25.983244,17.748634,-8.23461,1.4657576,0.9912374,-0.4745202,4.5633283,3.3106809,-1.2526474,42.40868,35.714912,-6.6937675
2015-04-01,217.12242,107.81494,-109.30748,287.37103,91.70941,-195.66162,60.514194,19.140554,-41.373642,109.633194,43.161747,-66.47145,348.19846,119.18474,-229.01372
2015-04-02,1111.4546,382.64935,-728.80524,2109.7126,410.8721,-1698.8406,196.30739,77.498055,-118.80933,356.20258,179.7476,-176.45497,3114.704,484.10312,-2630.601
2015-04-03,488.04166,236.95695,-251.0847,2025.256,345.01505,-1680.241,72.318756,46.48134,-25.837418,178.74484,145.21657,-33.528275,3903.7534,658.01575,-3245.7378
2015-04-04,164.21211,108.97285,-55.239265,491.7762,175.38733,-316.3889,22.503674,19.882795,-2.6208782,89.70986,91.57485,1.8649902,1556.9775,678.4697,-878.5078
2015-04-05,146.66054,57.628582,-89.03195,203.76993,98.98022,-104.78971,15.1864605,12.7306795,-2.455781,72.16862,62.52194,-9.646679,554.415,534.5242,-19.890808
2015-04-06,114.00461,58.173733,-55.830875,197.85185,97.293686,-100.55817,13.954116,12.143025,-1.8110905,74.23544,68.083855,-6.1515884,447.17792,513.2081,66.03021
2015-04-07,171.2715,92.7379,-78.5336,218.26733,134.55043,-83.7169,12.778256,10.544421,-2.2338352,79.2638,75.1183,-4.1455,500.9316,579.1258,78.19418
2015-04-08,137.9617,78.26782,-59.69388,277.47552,114.9787,-162.49683,8.919478,7.9533415,-0.96613693,53.667446,52.36573,-1.3017159,494.61627,450.03268,-44.583588
2015-04-09,64.18964,51.83177,-12.357864,177.6437,81.91841,-95.725296,7.0234184,5.8571754,-1.1662431,39.426636,32.02126,-7.4053764,388.72363,300.81525,-87.90839
2015-04-10,33.973125,33.450092,-0.52303314,86.557465,55.507736,-31.049728,5.278631,4.557513,-0.721118,28.242998,20.294184,-7.9488144,232.43646,208.0612,-24.37526
2015-04-11,27.803028,30.216278,2.41325,60.947956,50.84502,-10.102936,4.7223463,4.0222907,-0.7000556,20.968023,17.782282,-3.1857414,157.6658,167.19539,9.529587
2015-04-12,30.204111,25.563313,-4.6407986,59.003036,46.331715,-12.671322,4.8632836,3.4067092,-1.4565744,19.908926,14.037588,-5.871338,167.06833,142.06906,-24.999268
2015-04-13,17.878052,19.41117,1.5331173,47.700012,36.529144,-11.170868,3.1074734,2.862519,-0.24495435,12.038119,10.8695,-1.1686192,125.71916,116.68427,-9.034889
2015-04-14,11.889207,14.882124,2.992917,28.168415,28.35361,0.18519402,2.661243,2.4853964,-0.17584658,9.954707,8.809505,-1.1452017,85.507515,95.811455,10.30394
2015-04-15,10.146863,11.839554,1.6926908,22.515057,22.679438,0.16438103,2.6411364,2.1764925,-0.46464396,9.878874,7.550728,-2.328146,73.42568,83.1423,9.716621
