time,obs_hanzhong,pred_hanzhong,err_hanzhong,obs_yangxian,pred_yangxian,err_yangxian,obs_youshui,pred_youshui,err_youshui,obs_lianghekou,pred_lianghekou,err_lianghekou,obs_shiquan,pred_shiquan,err_shiquan
2011-06-17,146.56213,153.87654,7.3144073,232.29837,243.12914,10.830765,7.256303,8.042958,0.7866554,32.512405,50.696484,18.184078,495.4176,730.2917,234.87408
2011-06-18,115.65502,123.751945,8.096924,354.8181,287.19537,-67.62274,5.942252,7.4727726,1.5305204,35.10343,72.73092,37.627487,827.2022,1199.3292,372.127
2011-06-19,50.461014,77.73403,27.273018,207.79889,218.2481,10.4492035,4.5990157,8.121058,3.5220428,22.96439,53.529373,30.564983,635.0247,924.37604,289.35132
2011-06-20,34.167027,65.721436,31.554409,107.04735,226.13678,119.08943,11.564432,18.313429,6.7489967,44.3906,68.95615,24.565548,397.90936,659.9726,262.06323
2011-06-21,86.065895,137.23209,51.16619,196.11612,402.26358,206.14746,26.952604,43.196274,16.24367,107.46956,146.91232,39.442764,648.712,786.5638,137.8518
2011-06-22,207.2258,299.6202,92.39441,484.2956,574.3848,90.08923,32.30634,48.724697,16.418358,170.04355,220.88214,50.838593,1513.4769,1498.978,-14.498901
2011-06-23,222.77492,304.22067,81.445755,634.9619,488.16968,-146.79224,25.68394,31.836178,6.152237,155.71951,185.0078,29.288284,1925.2009,1763.8728,-161.32812
2011-06-24,114.65673,164.13982,49.483086,385.6729,263.84406,-121.82886,13.907774,15.981346,2.0735722,73.600426,86.29887,12.698441,1151.7787,1042.075,-109.703735
2011-06-25,57.478954,128.41246,70.9335,170.02422,192.33055,22.306335,9.011663,12.641316,3.629653,32.844933,40.43289,7.5879593,507.36624,519.81354,12.447296
2011-06-26,88.1255,169.86453,81.73903,218.29536,213.28445,-5.01091,9.554133,10.865805,1.3116713,26.011328,34.128227,8.1168995,512.92474,358.99573,-153.92902
2011-06-27,95.43403,127.40941,31.97538,264.97217,163.77744,-101.19473,8.199939,7.824706,-0.3752327,32.978443,32.28747,-0.6909714,596.66486,327.43945,-269.2254
2011-06-28,57.747963,73.04618,15.298218,178.58293,103.38924,-75.193695,5.2078366,5.6139836,0.406147,21.180576,23.860708,2.680132,427.7263,301.2911,-126.43518
2011-06-29,31.014706,42.09382,11.079113,88.429245,67.64325,-20.785995,3.8954735,4.259163,0.36368942,14.332138,16.34579,2.0136528,234.49417,238.83195,4.337784
2011-06-30,20.14184,26.480366,6.338526,48.835407,46.30561,-2.5297966,3.1146388,3.4213467,0.30670786,11.751593,13.914312,2.1627197,142.85362,212.419,69.565384
